# BOSCH-DARAB extract file created 02.04.2026 13:53:22
#
# Data from source file "f34_20260324_23----	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_234140.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235017.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235339.bmsbin	G:\Shared drives\RIT Formula SAE\F34 (2025-2026)\Testing\20260401 First Skidpad & AutoX\Data\f34_20260324_235628.bmsbin	CDarabFileGroup"
# where 0.000 <= xtime <= 948.996
# 
xtime    [s]	2_SSDB_brake_pressure_front_raw[none]	2_VC_PedalInputsRaw_BrakesRear_ADC[none]	Accel X Calibrated[]
         47.500	            362	            407	          0.141
         47.600	            363	            407	         -0.023
         47.700	            356	            406	         -0.241
         47.800	            363	            406	         -0.326
         47.900	            360	            406	          0.006
         48.000	            359	            404	          0.195
         48.100	            363	            405	         -0.094
         48.200	            357	            407	         -0.178
         48.300	            359	            405	         -0.297
         48.400	            356	            406	         -0.160
         48.500	            363	            406	          0.100
         48.600	            362	            407	          0.138
         48.700	            360	            407	          0.003
         48.800	            362	            407	         -0.383
         48.900	            360	            405	         -0.368
         49.000	            360	            406	          0.126
         49.100	            362	            407	          0.168
         49.200	            361	            407	         -0.029
         49.300	            364	            408	         -0.280
         49.400	            356	            406	         -0.290
         49.500	            359	            406	          0.013
         49.600	            362	            407	          0.065
         49.700	            357	            407	          0.137
         49.800	            359	            406	         -0.119
         49.900	            357	            407	         -0.338
         50.000	            361	            407	         -0.303
         50.100	            363	            406	         -0.075
         50.200	            361	            407	          0.139
         50.300	            357	            406	         -0.049
         50.400	            356	            405	         -0.308
         50.500	            358	            407	         -0.168
         50.600	            364	            407	         -0.149
         50.700	            356	            408	          0.052
         50.800	            361	            406	          0.139
         50.900	            357	            406	         -0.082
         51.000	            359	            406	         -0.277
         51.100	            356	            407	         -0.317
         51.200	            360	            407	          0.029
         51.300	            362	            407	          0.315
         51.400	            356	            407	         -0.031
         51.500	            363	            406	         -0.314
         51.600	            363	            406	         -0.315
         51.700	            361	            407	         -0.069
         51.800	            363	            407	          0.180
         51.900	            355	            406	         -0.046
         52.000	            356	            406	         -0.194
         52.100	            363	            407	         -0.248
         52.200	            358	            406	         -0.208
         52.300	            361	            406	          0.034
         52.400	            360	            405	          0.118
         52.500	            359	            403	          0.088
         52.600	            359	            406	         -0.168
         52.700	            363	            405	         -0.398
         52.800	            356	            403	         -0.098
         52.900	            363	            407	          0.054
         53.000	            356	            406	          0.120
         53.100	            357	            407	         -0.026
         53.200	            357	            406	         -0.290
         53.300	            360	            407	         -0.258
         53.400	            364	            405	         -0.188
         53.500	            363	            406	          0.025
         53.600	            358	            406	          0.239
         53.700	            356	            406	         -0.000
         53.800	            356	            407	         -0.258
         53.900	            357	            407	         -0.434
         54.000	            357	            407	         -0.204
         54.100	            355	            406	          0.241
         54.200	            356	            407	          0.160
         54.300	            356	            407	         -0.042
         54.400	            357	            405	         -0.359
         54.500	            357	            406	         -0.233
         54.600	            363	            405	          0.043
         54.700	            357	            407	          0.064
         54.800	            360	            405	          0.076
         54.900	            361	            404	         -0.245
         55.000	            360	            406	         -0.268
         55.100	            358	            407	         -0.230
         55.200	            358	            404	          0.004
         55.300	            356	            404	          0.239
         55.400	            355	            405	         -0.104
         55.500	            361	            406	         -0.158
         55.600	            360	            405	         -0.204
         55.700	            356	            406	         -0.178
         55.800	            363	            407	          0.053
         55.900	            358	            408	         -0.211
         56.000	            359	            406	          0.131
         56.100	            357	            405	         -0.268
         56.200	            359	            405	         -0.372
         56.300	            357	            406	         -0.262
         56.400	            362	            406	         -0.342
         56.500	            363	            404	         -0.353
         56.600	            363	            406	         -0.067
         56.700	            356	            406	         -0.011
         56.800	            363	            404	          0.127
         56.900	            360	            404	          0.137
         57.000	            358	            406	         -0.094
         57.100	            358	            404	         -0.288
         57.200	            361	            406	         -0.429
         57.300	            362	            404	         -0.094
         57.400	            361	            404	          0.270
         57.500	            357	            407	          0.051
         57.600	            360	            406	         -0.114
         57.700	            360	            404	         -0.395
         57.800	            363	            408	         -0.232
         57.900	            360	            406	         -0.077
         58.000	            356	            405	         -0.025
         58.100	            355	            406	          0.152
         58.200	            358	            405	          0.010
         58.300	            361	            407	         -0.115
         58.400	            355	            406	         -0.304
         58.500	            362	            408	         -0.372
         58.600	            362	            407	         -0.171
         58.700	            358	            406	         -0.174
         58.800	            357	            406	          0.089
         58.900	            359	            406	          0.167
         59.000	            360	            407	          0.211
         59.100	            358	            406	          0.026
         59.200	            360	            405	         -0.392
         59.300	            360	            405	         -0.336
         59.400	            360	            404	         -0.276
         59.500	            358	            405	          0.047
         59.600	            357	            406	          0.036
         59.700	            357	            405	          0.045
         59.800	            363	            406	          0.025
         59.900	            358	            407	         -0.331
         60.000	            362	            406	         -0.284
         60.100	            356	            405	         -0.149
         60.200	            356	            406	          0.182
         60.300	            358	            405	          0.235
         60.400	            362	            407	         -0.238
         60.500	            356	            408	         -0.200
         60.600	            359	            407	         -0.296
         60.700	            356	            404	         -0.040
         60.800	            361	            404	          0.198
         60.900	            362	            405	         -0.016
         61.000	            362	            405	         -0.204
         61.100	            360	            405	         -0.473
         61.200	            361	            407	         -0.028
         61.300	            355	            407	          0.238
         61.400	            355	            405	          0.070
         61.500	            356	            406	         -0.192
         61.600	            358	            406	         -0.188
         61.700	            358	            406	         -0.051
         61.800	            358	            406	          0.073
         61.900	            359	            406	          0.053
         62.000	            359	            406	         -0.167
         62.100	            363	            405	         -0.082
         62.200	            362	            404	         -0.090
         62.300	            361	            405	          0.083
         62.400	            360	            406	          0.092
         62.500	            359	            406	         -0.117
         62.600	            366	            407	         -0.244
         62.700	            365	            405	         -0.182
         62.800	            362	            406	          0.062
         62.900	            359	            406	          0.164
         63.000	            356	            406	         -0.174
         63.100	            363	            405	         -0.391
         63.200	            357	            407	         -0.245
         63.300	            361	            405	         -0.410
         63.400	            355	            406	          0.200
         63.500	            361	            406	          0.156
         63.600	            363	            405	         -0.210
         63.700	            360	            406	          0.113
         63.800	            360	            406	         -0.209
         63.900	            357	            404	          0.061
         64.000	            363	            406	          0.282
         64.100	            362	            405	         -0.204
         64.200	            364	            406	         -0.190
         64.300	            365	            405	         -0.405
         64.400	            367	            406	         -0.129
         64.500	            366	            407	          0.345
         64.600	            361	            406	         -0.002
         64.700	            364	            406	         -0.240
         64.800	            363	            407	         -0.465
         64.900	            361	            406	         -0.175
         65.000	            355	            407	          0.146
         65.100	            356	            406	          0.078
         65.200	            364	            404	         -0.003
         65.300	            357	            405	         -0.321
         65.400	            366	            405	         -0.172
         65.500	            361	            406	         -0.031
         65.600	            365	            407	          0.114
         65.700	            358	            406	          0.111
         65.800	            360	            406	         -0.258
         65.900	            363	            405	         -0.357
         66.000	            363	            406	         -0.147
         66.100	            364	            406	          0.167
         66.200	            364	            406	         -0.176
         66.300	            360	            404	          0.186
         66.400	            360	            407	          0.072
         66.500	            365	            404	          0.021
         66.600	            356	            405	         -0.222
         66.700	            354	            406	         -0.283
         66.800	            354	            403	         -0.195
         66.900	            356	            407	          0.005
         67.000	            359	            407	          0.198
         67.100	            355	            405	          0.002
         67.200	            354	            406	         -0.205
         67.300	            355	            407	         -0.269
         67.400	            358	            404	         -0.211
         67.500	            361	            406	          0.032
         67.600	            361	            405	          0.057
         67.700	            358	            407	          0.168
         67.800	            361	            404	          0.053
         67.900	            359	            405	         -0.283
         68.000	            363	            406	         -0.381
         68.100	            362	            406	         -0.135
         68.200	            357	            406	          0.265
         68.300	            362	            404	          0.093
         68.400	            358	            404	         -0.132
         68.500	            360	            406	         -0.348
         68.600	            358	            407	         -0.261
         68.700	            359	            406	          0.022
         68.800	            359	            406	          0.079
         68.900	            357	            404	          0.176
         69.000	            359	            407	         -0.162
         69.100	            362	            407	         -0.337
         69.200	            358	            407	         -0.228
         69.300	            358	            407	          0.057
         69.400	            358	            404	          0.246
         69.500	            362	            403	         -0.032
         69.600	            362	            407	         -0.147
         69.700	            359	            406	         -0.218
         69.800	            356	            407	         -0.275
         69.900	            363	            407	         -0.118
         70.000	            358	            407	         -0.002
         70.100	            360	            407	          0.213
